Entity,Source,By-Statement
Ajay Kumar,Telegraph,higher and technical education secretary ajaykumar said this at a news meet at suchana bhavan today, and added that jharkhand needed some 600 new colleges to improve its gross enrolment ratio (ger) of 8.
Ananta Narayan Jena,Telegraph,mayor anantanarayanjena said: smart city and modern urbanisation are the future.
Ananta Narayan Jena,Telegraph,mayor anantanarayanjena said janpath would see all-round development in the smart city project.
Ananta Narayan Jena,Telegraph,mayor anantanarayanjena said promotion of non-motorised transport was one of the important agendas of the smart city proposal.
Ananta Narayan Jena,Telegraph,mayor anantanarayanjena said the construction of the four-lane roads was part of the smart city's railway station multi-modal hub project.
Ananta Narayan Jena,Telegraph,mayor anantanarayanjena said that while taking up the terminal's renovation, they would follow the same procedure in which they were executing the smart city projects.
Ananta Narayan Jena,Telegraph,mayor anantanarayanjena said the civic body was committed to providing quality services to the citizens in the smart city.
Angela Merkel,NIE,berlin: chancellor angelamerkel says she only found out about volkswagen's use of software to cheat on emissions through the media.
Anil Baijal,NIE,lauding efforts associated with the project and their innovations, anilbaijal asked the stakeholders to use the latest scientific methods for cleaning drains and urged the experts to provide the latest technologies to urban local bodies to solve waste issues.
Anil Baijal,IE,l-g anilbaijal said the scientific collection, systematic segregation and compressed volume of garbage will lead to dumping of less garbage in sanitary landfills.
Anil Baijal,HT,also, lieutenant governor anilbaijal had repeatedly told us during review meetings that enhancing property tax is crucial for sdmc to generate money for smart city projects.
Anil Vij,TOI,chandigarh: haryana health minister anilvij has said that the countrys 22nd all-india institute of medical sciences (aiims) would be constructed in manethi, rewari, at a cost of rs 1,100 crore.
Arun Jaitley,NIE,union finance minister arunjaitley has said that the government's decision will move the country towards a cashless economy.
Arun Jaitley,NIE,also read: parliamentary panel may question rbi governor urjit patel on stand-off with central governmentif we are to improve (growth rate), we need certain level of credit as far as entrepreneurs are concerned, (and it is necessary that) liquidity is maintained, arunjaitley said.
Arun Jaitley,NIE,a large number of nationally acclaimed institutions have come forward to take research in technology to the next level, arunjaitley said.
Arun Jaitley,NIE,on the role of customs and the entire tax department, arunjaitley said it has been evolving with changing nature of economy and with increased tools of technology now being available.
Arun Jaitley,NIE,| reutersnew delhi: india will offer tax incentives to small businesses engaged in cashless transactions, finance minister arunjaitley told reporters on tuesday, as part of the government's fight against the cash economy.
Arun Jaitley,NIE,the upa legislation, arunjaitley said, was inadequate as it did not contain adequate safeguards on privacy and did not mention for which purpose the uid would be used.
Arun Jaitley,DecH,new delhi, jan 16, 2016 (pti) 13:23 istgovernment in the budget next month will announce a friendly tax regime that will encourage setting up of startups in the country, finance minister arunjaitley said today.
Arun Jaitley,DecH,without referring to advani's comments, arunjaitley said the media censorship is not possible today because of the technology itself.
Arun Jaitley,DecH,on the demonetisation drive, arunjaitley said that the governments bid to go cashless meant less cash and not no cash, as reported by the opposition parties and a section of the media.
Arun Jaitley,DecH,i also intend to set up five more iits (indian institutes of technology) in jammu, chhattisgarh, goa, andhra pradesh and kerala, arunjaitley said while presenting the budget for 2014-15.
Arun Jaitley,Telegraph,it is proposed to develop 10 prominent tourist sites into iconic tourism destinations by following a holistic approach involving infrastructure and skill development, development of technology, attracting private investment, branding and marketing, finance minister arunjaitley said in his budget speech.
Arun Jaitley,HT,in the budget for 2017-18, finance minister arunjaitley said a digigaon initiative will be launched to provide tele-medicine, education and skills through digital technology.
Arun Jaitley,HT,as part of the operation clean money launched on january 31, 2017, arunjaitley said the i-t department would leverage technology and data analysis for e-verification of cash deposits made during the demonetisation period.
Arun Jaitley,HT,after addressing sebis board and top officials at a customary post-budget meeting, arunjaitley said he also discussed the future agenda for the capital markets regulatory body, including the evolving technological and policy changes.
Arun Jaitley,HT,but banks are also hiring experts to develop firewalls around their system to make it increasingly difficult to breach it, arunjaitley said, adding that technology has to keep pace with crime.
Arun Jaitley,HT,to further bolster the cashless transactions, arunjaitley said that sidbi will refinance merchants and businesses based on transaction history.
Arun Jaitley,IE,during his budget speech, finance minister arunjaitley announced that niti aayog would spearhead a national programme on ai; with the near doubling of the digital india budget, the it ministry also announced the setting up of four committees for ai related research.
Arun Jaitley,IE,earlier in the day, finance minister arunjaitley said the government was ready with an entrepreneur-friendly taxation regime.
Arun Jaitley,IE,noting that india has missed the bus because of its conventional thinking when it came to industrial and technology revolutions, arunjaitley said indians have now become aspirational, which is putting pressure on politicians to support reforms initiatives.
Arun Jaitley,IE,stating that the suggestion was wrong in its entirety, arunjaitley said, to ensure probity in spending, the contact for construction of stadium , through a bidding process, was awarded to a public sector organisation (engineering projects india ltd).
Arun Jaitley,IE,share this article related article government opposes jairam's plea against aadhaar bill as money billgovernment opposes jairam's plea against aadhaar bill as money bill the lpg puzzlethe lpg puzzle aadhaar bill is through after opposition scores a few brownie pointsaadhaar bill is through after opposition scores a few brownie points hope to pass gst, bankruptcy bill this session: arun jaitleyhope to pass gst, bankruptcy bill this session: arunjaitley aadhaar bill introduced in lok sabhaaadhaar bill introduced in lok sabha aadhaar gets statutory status; centre to bring bill in two dayswhile wrapping up the debate, arunjaitley said that except for some questions with regard to privacy and disclosure of information which have been raised, most speakers have actually supported the bill.
Arun Jaitley,IE,on the privacy issue, arunjaitley said the bill had provisions for taking care of it.
Arun Jaitley,IE,briefing about the cabinet meeting, finance minister arunjaitley said the preference to the domestic manufactured goods would be given under the government procurement preference to make in india order 2017.
Arun Jaitley,IE,this will provide a one-stop conversion support system for empowering rural women with opportunities for employment, skill development, digital literacy, health and nutrition, arunjaitley announced.
Arun Jaitley,IE,why shouldnt we make use of this technology if it helps us catch tax evaders, arunjaitley asked during his reply to the debate on finance bill, which was passed in the evening.
Arun Jaitley,IE,with opposition parties questioning the government over benefits of the demonetisation process, arunjaitley said that tax authorities are conducting big data mining to zero in on those with income disproportionate to cash they deposited during the 50-day process.
Arun Jaitley,TOI,the upa legislation, arunjaitley said, was inadequate as it did not contain adequate safeguards on privacy and did not mention for which purpose the uid would be used.
Arundhati Bhattacharya,NIE,we have considered many factors and after analysing carefully, we have taken this step, sbi chairperson arundhatibhattacharya told reporters here on the sidelines of a women entrepreneurs' national convention.
Ashraf,IE,danish ashraf , nodal officer for smart city mission and sdm (east), said, people are coming up with complaints, problems, suggestions and ideas but till now, we have not received any idea from residents welfare associations.
Ashraf,NIE,these are all priority sectors under 'skill india' and 'make in india' programmes, which require large workforce with advanced technical skills, india's high commissioner in singapore jawed ashraf said here on friday.
Babu,DecH,the difference is extremely glaring in perishable commodities like vegetables, babu said in his address at the 46th convocation of the university of agricultural sciences (uas) here on friday.
Babu,NIE,new delhi: internet of things and new technologies are a deadly combination and will play an important role in the growth of his state, said n babu , chief minister, andhra pradesh.
Babu,NIE,reminiscing his efforts to bring the e-governance in the united andhra pradesh, babu said that unless there was new thinking, planning and execution, there would not be any progress in any sector.
Babu,NIE,with the help of the advanced technologies, the government is conserving resources, babu said.
Babu,NIE,on the occasion, union minister m venkaiah babu said that the demonetisation was also a part of the digital india.
Babu,NIE,babu said the big three software services companies - tcs, infosys, cognizant - cutting recruitment by more than half was an alarming prospect for the engineering students.
Babu,NIE,the increase in engineering colleges and the number of seats should have been in proportion to the industry demand, said babu.
Babu,NIE,our endeavour is to lead the revival of coconut farming and provide support to farmers with scientific protocols for value addition and processing, babu said.
Babu,NIE,asserting that every issue related to the construction of the project was being executed based on clearances given by technical committees, babu project authority, central water commission and as per the designs prepared by engineers and experts, babu said that the so-called intellectuals should know all these issues.
Babu,NIE,as the chief guest at the andhra university science college annual day celebrations here, babu asked the students to respond whether his decision was right.
Babu,Telegraph,our hr will take a call tomorrow morning whether to declare a holiday (on tuesday), said babu , a software engineer.
Babu,IE,chief minister n babu who launched the first machine said his aim is to make andhra pradesh a crime free state in india through the usage of latest technology in forensic labs.
Babu,IE,addressing a press conference in amaravati, babu said that he has directed union civil aviation minister p ashok gajapati raju and y satyanarayana chowdary, minister of state for science and technology and earth sciences, to resign from the union cabinet.
Babu,HT,expressing serious concern over reports of failure of evms at several places across the state, babu said he had been saying right from the beginning that evms were unreliable as they were prone to technical glitches.
Babu,TOI,the surface water of krishna river will anyway be polluted and along with it the ground water as well, said said k babu , a retired senior scientist from the indian institute of chemical technology.
Babu,TOI,for highly specialised technology and labour, we will bring in outside consultants for the purpose, but we will deliver the vessels to the indian navys satisfaction and also on time, admiral babu said.
Babu,TOI,thiruvananthapuram: the procedures are on to set up the headquarters of the apj abdul kalam technological university on a piece of land at vilappilsala in thiruvananthapuram district , education minister c babu told the assembly on monday.
Barack Obama,TOI,we've also seen intellectual property, technologies that were created by us companies, with a lot of investment, a lot of up-front capital, taken, not protected properly, by chinese firms, barackobama said.
Barack Obama,Telegraph,technological progress without an equivalent progress in human institutions can doom us, barackobama said, adding that such technology requires a moral revolution as well.
Barack Obama,Telegraph,in a much-anticipated speech that ranged from broad principles to technical details, barackobama said he would end the vast collection of phone data as it exists today.
Barack Obama,DecH,for our part, the united states continues to look at our export controls to make sure indian companies have the same access to american technology as our closest allies, barackobama told pti in a wide-ranging interview.
Barack Obama,IE,to accelerate that change, we need science, barackobama said.
Barack Obama,IE,with a creative spirit and a drive for innovation, he pioneered new technologies that have rightfully received worldwide acclaim, u.s. president barackobama said.
Barack Obama,IE,these innovators are working to help keep the united states on the cutting edge, showing that federal investments in science lead to advancements that expand our knowledge of the world around us and contribute to our economy, barackobama said.
Barack Obama,HT,these innovators are working to help keep the united states on the cutting edge, showing that federal investments in science lead to advancements that expand our knowledge of the world around us and contribute to our economy, barackobama said.
Barack Obama,NIE,with a creative spirit and a drive for innovation, he pioneered new technologies that have rightfully received worldwide acclaim, u.s. president barackobama said.
Chanda Kochhar,NIE,we plan to more than double the software robots to over 500 by end of this fiscal, chandakochhar , md and ceo, icici bank, said.
Chandra Bose,NIE,that the so-called 'gumnami baba', who reportedly died in 1985 leaving his teeth among his trunk load of personal belongings, was not netaji was established in a scientific dna test, chandrabose said.
Deepak,NIE,so thats why youve named your son fidel, deepak told joshi, a lecturer at the business department of the higher college of technology .
Deepak,HT,the software identifies the words which find an entry in the dictionary and translates them into marathi, said deepak , the officiating controller of the examination.
Deepak,HT,its advertisement also amounts to violation of cotpa under section 5, said deepak , executive director, seeds, the technical support partner of the jharkhand health department in implementation of the national tobacco control programme in five districts of the state.
Deepak,IE,the machine is being repaired and cannot be used for the next 10 days, said dr deepak , the director of ram manohar lohia institute of medical sciences in lucknow.
Deepak,IE,deputy commissioner-cum-secretary (information technology) dr s b deepak said, this is the third service that we have launched this month.
Deepak,IE,ut special secretary information technology sb deepak said that the existing policy provided companies to avail space at the centre at low rents, which was not the motive of starting the edc.
Deepak,TOI,pali sp deepak told toi that investigators were awaiting a final ballistics report on the shooting from the state forensic science laboratory to corroborate their hunch that munisekar fired the weapon at periyapandi while the team tried to storm the gangs hideout in a shack in an abandoned brick kiln in ramavas village.
Deepak,TOI,these videos will be live on our facebook page and can be viewed on youtube as well, said deepak , an ma political science student at kirori mal college, who has been volunteering at ducr for three years.
Deepak,Telegraph,deepak kumar (23), a resident of anisabad, said: i have filled up two examination forms, one of technical assistant in the indian railway and another for assistant in the cabinet secretariat.
Deepak Kumar,IE,deputy commissioner-cum-secretary (information technology) dr s b deepakkumar said, this is the third service that we have launched this month.
Deepak Kumar,IE,ut special secretary information technology sb deepakkumar said that the existing policy provided companies to avail space at the centre at low rents, which was not the motive of starting the edc.
Deepak Kumar,TOI,these videos will be live on our facebook page and can be viewed on youtube as well, said deepakkumar , an ma political science student at kirori mal college, who has been volunteering at ducr for three years.
Devendra Fadnavis,IE,technology can never replace people-to-people contact between the government and the people and women are best suited to that role, chief minister devendrafadnavis said on wednesday.
Devendra Fadnavis,IE,(express archive)skill development training can promote economically self-reliant entrepreneurs and beat unemployment through job creation in diverse sectors, including agriculture and industries, chief minister devendrafadnavis said on friday interacting with iti students.
Devendra Fadnavis,IE,taking a step forward towards the development of kalyan-dombivli as a smart city and unveiled the governments plan, chief minister devendrafadnavis on friday said, smart cities cannot be a reality unless it is adequately backed by smart planning.
Dhawan,IE,prince dhawan , director (information technology), said, it is a turning point for the city beautiful which has embarked upon its journey to become a smart city.
Dinesh Waghmare,IE,meanwhile, municipal commissioner dineshwaghmare said, e-governance is atop of civic bodys agendawe will certainly be going digital, but in a phased manner.
Gandhi,NIE,modiji brags about start-up india and make in india, but he can give jobs to only one lakh youth a year in the country which is about 450 jobs a day, gandhi said.
Gandhi,NIE,speaking about the poor innovation in india, gandhi said there was a lack of funding.
Gandhi,NIE,gandhi said the education system needs a reform where phd research should be linked to industry and innovation.
Gandhi,NIE,hitting out hard at the centre, gandhi said first the government offered sops to push people to use debit/credit cards and when the people started using more of cashless means, now lack of coordination with banks and their policies is forcing petrol pump owners to adopt these drastic steps.
Gandhi,NIE,when asked about data privacy, gandhi said it companies have understood that india and china has large data.
Gandhi,NIE,gandhi said the 'make in india' scheme of the government has failed to create jobs or attract investment and unemployment was rampant.
Gandhi,IE,immigration of doctors hurts the country,chairperson of the national advisory council (nac) gandhi told graduating doctors during the 39 th convocation ceremony of the all india institute of medical sciences (aiims) on wednesday.
Gandhi,IE,gandhi said not a single person has benefitted by the prime ministers promises of controlling inflation, depositing rs. 15 lakh in the accounts of each citizen and upgrading certain towns to smart city.
Gandhi,IE,ridiculing the make in india campaign, gandhi said, the babbar sher (mascot of make in india campaign) does not squeak even like a mouse.
Gandhi,IE,on the day when the government launched the startup india campaign, gandhi said there is a huge contradiction that the centre was attempting to push start-ups while being intolerant.
Gandhi,HT,twitter.com/qbjiftvrkj  gandhi (@rahulgandhi) august 19, 2019charting the steps taken by rajiv government, the video says: computers become the symbol of ambitious indians, entrepreneurs like nr narayana murthy, shiv nadar and azim prem set-up world-class it companies, through mtnl indians could connect to 243 overseas countries, digitised telephone exchanges, pcos introduced to connect rural and urban india and first indian railways introduced digital reservation for tickets.
Gandhi,DecH,near reception, computers enabled with net are lined up to facilitate the visitors have the feel of new age technology- which is now almost paperless, in collating information, says the librarian dr ramesh gandhi.
Gandhi,DecH,gandhi said that in parliament he had asked modi four questions on his promises of bringing back black money and depositing rs 15 lakh in everybody's bank account, the recent budget proposal of turning black money to white, rohith vemula's suicide, kanhaiya kumar and jnu and finally about the number of youths employed as a result of his 'make in india' scheme.
Gandhi,DecH,maneka gandhi said the 'beti bachao, beti padhao' campaign was the fourth major initiative of the modi government after jandhan yojna, swachh bharat abhiyan and make in india campaign.
Gandhi,DecH,kerala is also the first state to have a startup policy, gandhi said.
Gandhi,TOI,emphasising the need for scientific investigation of crimes, gandhi said spiralling cases crime against women and children have necessitated scientific analysis of physical evidence in such cases.
Gandhi,TOI,while gandhi said proof of orders given to hal was needed, the defence minister on sunday released details of contracts signed and those where requests for proposal have been issued and contracts are at technical evaluation stage.
Gandhi,TOI,this is not correct as postal services would continue to be in step with the times and render services in tandem with the new technology, gandhi said.
Gautham,IE,v k gautham , principal secretary (information technology), maharashtra government, said, we are paying the mtnl for their bandwidth.
Gautham,IE,meanwhile, v k gautham , principal secretary (information technology), told the indian express that zero incidents on mantralayas network had been reported following the virus scare of wannacry.
Gautham,HT,vk gautham , principal secretary of states information technology department, said the concern is a valid one.
Gautham,HT,33 pm, said jl gautham , operations head at the nsb, a unit of ministry of earth sciences.
Gautham,HT,vk gautham , principal secretary of the states information technology department, said they have 50 teams deployed on the ground to sort out issues at the hotspots.
Gautham,TOI,in rural areas, we register children in anganwadis but in urban areas, many of them don't come to anganwadis, state information technology chief v k gautham said.
Gautham,TOI,in rural areas, we register children in anganwadis but in urban areas, many of them don't come to anganwadis, state information technology chief v k gautham said.
Gautham,TOI,principal secretary information technology vk gautham told toi that a three-pronged strategy has been adapted by the government to address the shortcomings in this age group.
Gautham,DecH,the epicentre of the quake was rudraprayag district in uttarakhand, said j l gautham , operations head at the national seismological bureau, a unit of ministry of earth sciences.
Ghanshyam Thori,HT,bathinda deputy commissioner ghanshyamthori , who convened a meeting of senior officials of departments concerned, said whitefly-friendly weed would be destroyed under technical guidance from the agriculture department before march 11.
Gogia,HT,an average american software-engineer in the us, gets anything between $1,40,000 to $1,70,000 depending on which school has the graduate passed out from, said gogia , ceo and chief analyst of greyhound research.
Hamid Ansari,NIE,new delhi: the indian it industry will have to step up on innovation amid challenges like need for new products, digital disruption and shrinking manpower requirements triggered by software automation, vice president hamidansari said on saturday while inaugurating the new headquarters of the national association of software services companies in noida.
Hamid Ansari,DecH,use science to overcome obscurantism, says ansaribengaluru, may 22, 2015, dhns: 1:02 istvice-president hamidansari on friday said promotion and embedding of science and scientific temper is a constitutional duty, besides being a moral one for a modern nation.
Harsh Vardhan,IE,eliminating malaria and tuberculosis (tb) were high on the radar of the government, said dr harshvardhan , union minister for health and family welfare, science and technology and earth sciences.
Harsh Vardhan,Telegraph,health minister harshvardhan said the health ministry is providing all logistical and technical support to the state government in terms of surveillance and diagnostic kits to strengthen their efforts in addressing je.
Jain,TOI,mayor jain said that the implementation of the e-governance project is very important.
Jain,TOI,the event will feature more than 800 participants and around 50 renowned speakers who will be interacting with the aspiring entrepreneurs, said tie president jain who is also the founder and ceo of net solutions.
Jain,TOI,pawan jain told toi that it's a dispute between right to information and right to privacy.
Jain,IE,we wish to form proposals that will help young entrepreneurs too, said sameer jain,chairman of young indians (chandigarh chapter) and ceo of net solutions.
Jain,IE,jain said he had suggested to the discoms in the first meeting with them to shut down the plants that have become obsolete in technical terms.
Jain,IE,m g science institute principal p k jain told the indian express that this year science colleges were getting good response from students.
Jain,HT,rajesh jain , one of the builders of arihant arden society, said that the process of changing the transformer is facing a delay due to technical issues.
Jain,DecH,more scientific methods will be adopted for this purpose, health minister jain jain said.
Jayalalithaa,DecH,chief minister jayalalithaa had said that it was a meteorite fall that caused the mishap at the campus of a private engineering college.
Jayalalithaa,DecH,chief minister jayalalithaa had said that it was a meteorite fall that caused the mishap at the campus of a private engineering college.
Jim Yong Kim,NIE,by ptiwashington: digital technologies offer a hope in the fight against corruption which is a problem in every single country of the world, world bank president jimyongkim has said.
Kiran Kumar,DecH,'use space technology for social good'september 26, 2015, bengaluru, dhns 1:47 istindian space research organisation (isro) chairman a s kirankumar said there is a need to use space technology for social good and development.
Kiran Kumar,DecH,isro will provide satellite-generated information to the railways through space technology-based tools that will provide safety at unmanned level crossings, isro chairman a s kirankumar told reporters here yesterday in reply to a question on how will isro help the railways in using the navigational support system.
Kiran Kumar,DecH,the technological demonstration flight of the reusable launch vehicle (rlv) is scheduled for september at sriharikota in andhra pradesh, indian space research organisation (isro) chairman a s kirankumar told reporters here.
Kiran Kumar,DecH,addressing a gathering after delivering a lecture on space technology and societal applications, a s kirankumar , chairman, isro, said on monday that isro is working on designing reuseable satellite launch vehicles in an effort to cut down cost.
Kiran Kumar,DecH,need for workforce to achieve sustainable development stressedshivamogga, june 19, 2015, dhns: 0:56 istindian space research organisation (isro) chairman a s kirankumar said on thursday that there was a need to provide inputs to the decision-makers of the country based on scientific analysis to tackle the issues people are facing.
Kiran Kumar,NIE,the commissioning of the facility also symbolises the countrys capability in establishing such world-class facilities wherein technology from outside is restricted or not available, kirankumar said.
Kiran Kumar,NIE,prof kirankumar , educationist and former executive council member, visvesvaraya technological university, says that one of the main reasons for the state institutions' poor grading is due to the fact that institutions do not understand education compliance.
Kiran Kumar,NIE,the commissioning of the facility also symbolises the countrys capability in establishing such world class facilities wherein technology from outside is restricted or not available,'' kirankumar said.
Kumar Mangalam Birla,DecH,earlier during the day, aditya birla group chairman kumarmangalambirla said, this combination will enable the aditya birla group to create a high quality digital infrastructure that will transition the indian population towards a digital lifestyle, and make the governments digital india vision a reality.
Kumar Ravi,HT,while some analysts have said the plans will raise infosyss cost burden and impact its margins, deputy chief operating officer kumarravi said it would make indias second-biggest software services company nimbler.
Kumar Ravi,TOI,we are excited to announce the expansion of our presence in connecticut and to create 1,000 technology jobs in the state, infosys president kumarravi said.
Kumar Ravi,TOI,this is in contrast to joining a large organisation where there would be lesser ownership, and therefore, lesser learning, belong's chief technology officer (cto) vinodh kumarravi said.
Kumar Ravi,TOI,we are excited to announce the expansion of our presence in connecticut and create 1,000 technology jobs in the state, infosys president kumarravi said.
M. Venkaiah Naidu,DecH,factors like viability of implementation, city vision and strategy, economic and environmental impacts of the plan, cost effectiveness, innovation and scalability and the process followed for preparing the dpr, including consultation of the citizens, will be taken into account for preparing the final list of 20 cities, union urban development minister m.venkaiahnaidu told deccan herald.
Madan,NIE,in these days of high technological advancements, authorities should ensure a more secure and fool-proof system while conducting such recruitment examinations, says madan.
Mahesh Sharma,DecH,rain-hit chennai airport resumes technical flightsnew delhi, dec 5, 2015, (pti) 13:46 isttechnical flights have started from rain-hit chennai airport where operations were suspended on wednesday following flooding but it will take a few days to resume commercial flights, union minister maheshsharma said today.
Mahesh Sharma,TOI,smart city projects executive engineer maheshsharma said that they will be finalizing an agency for the same soon.
Mamata Banerjee,IE,after the ceremony, mamatabanerjee said, chandrima will take charge of health and e-governance and ujjwal will take care of the jail (correctional administration) department.
Mamata Banerjee,IE,either you fix such technical problems or do not stop funds citing such lame excuses, mamatabanerjee said.
Mamata Banerjee,IE,after the ceremony, mamatabanerjee said, chandrima will take charge of health and e-governance and ujjwal will take care of the jail (correctional administration) department.
Mamata Banerjee,IE,watch video: whats making newswe discussed a lot of topics like investment, technology, culture and social media, mamatabanerjee said after the meeting.
Mamata Banerjee,Telegraph,sources said mamatabanerjee , during her recent visit to cooch behar, had asked the officials to encourage local entrepreneurs to make investments on the site.
Mamata Banerjee,Telegraph,chief minister mamatabanerjee has told me that bengal will join the all-india single entrance test for engineering from 2014, sibal said at a news conference in the city.
Manish Tewari,IE,there is certain amount of intellectual investment which india has made in the development of tech industry on the us, congress party spokesperson manishtewari said.
Manish Tewari,IE,there is certain amount of intellectual investment which india has made in the development of tech industry on the us, congress party spokesperson manishtewari said.
Manmohan Singh,IE,b'asking scientists to think out of the box for advancements in the country,prime minister manmohansingh today announced 2012-13 as the year of science to unleash the energies of young scientists and attract more people towards research.
Manohar Lal Khattar,IE,a university is also being set up for developing and honing the skills of youths through about 800 technical courses, manoharlalkhattar said.
Manohar Lal Khattar,DecH,the ultimate goal is to prevent corruption by use of technology and minimizing the discretion process, chief minister manoharlalkhattar told senior officers at a meeting, the first of its kind on eradicating corruption, here this week.
Manohar Lal Khattar,NIE,a university is also being set up for developing and honing the skills of youths through about 800 technical courses, manoharlalkhattar said.
Manohar Lal Khattar,TOI,london: chief minister manoharlalkhattar said in london he wants to transform haryana into a silicon valley, which attracts expats and tech companies from overseas.
Manohar Lal Khattar,TOI,london: chief minister manoharlalkhattar said in london he wants to transform haryana into a silicon valley, which attracts expats and tech companies from overseas.
Manohar Lal Khattar,TOI,speaking at the event, manoharlalkhattar also said, industrial organisations have to play an active role in bridging their gap with the technical institutes of the state.
Manohar Lal Khattar,TOI,speaking about long term policy decisions, manoharlalkhattar said that the state government was working on two schemes to make available land for entrepreneurs to set up industries and to create more sources of income for the villages.
Manohar Parrikar,IE,(file photo)defence minister manoharparrikar today said it was not his concern that some companies like boeing and lockheed martin could find themselves torn between the slogans of america first of us president donald trump and make in india of prime minister narendra modi.
Manohar Parrikar,IE,b'bowing to pressure from within bjp against the us-based playboy clubs move to open its facility in the coastal state,goa chief minister manoharparrikar today said the application would not be considered by his government on technical grounds.
Manohar Parrikar,TOI,it was in january this year, while speaking at the state credit seminar 2018-19 organised by the national bank for agriculture and rural development (nabard), manoharparrikar said the state government would go cashless by september 30.
Manohar Parrikar,TOI,by september 30 my government will go cashless, manoharparrikar said.
Manohar Parrikar,TOI,in november 2016, post demon, manoharparrikar had announced that goa would be the first state in the country to go cashless and would achieve this by december 31, 2016.
Manohar Parrikar,TOI,12m openings will be provided at certain stretches by way of small bridges to allow for the free flow of water, he said adding, the irrigation department has been directed to work out scientific solutions to prevent flooding and to take anti-flooding measures, manoharparrikar said.
Manohar Parrikar,TOI,vasco: chief minister manoharparrikar on friday said that the union government can look at italy, russia and south korea for transfer for technology (tot) to build 12 mine counter measure vessels (mcmv) for the indian navy at the goa shipyard ltd ( gsl ).
Manohar Parrikar,DecH,panaji, aug 30, 2015, (pti) 12:20 istunion defence minister manoharparrikar has said the drdo's transfer of technology deal with yoga guru ramdev's trust will fetch rs 50 crore revenue for the people of leh region.
Manohar Parrikar,DecH,hospitals should get cashless transaction system, says parrikarmangaluru, dec 26, 2016, dhns: 23:36 istdefence minister manoharparrikar said that a cashless system should be introduced in all government and private hospitals across the country.
Manohar Parrikar,DecH,asked about defence trade and technology initiative (dtti) with the us, manoharparrikar said it is already there.
Manohar Parrikar,DecH,speaking to reporters on the sidelines of an industry exhibition on technology and material sciences in navi mumbai, manoharparrikar said during the past 23 months that i have been in charge, we have signed contracts worth rs 2.
Manohar Parrikar,DecH,stating that the make in india concept as it stands today talks only of a platform, manoharparrikar said, i don't understand why only platforms.
Manohar Parrikar,DecH,the make in india push, manoharparrikar told mediapersons, had begun to yield results.
Manohar Parrikar,DecH,'defence food lab should work for farmers'mysuru, may 8, 2016, dhns: 23:57 istunion defence minister manoharparrikar on sunday said he has directed the defence food research laboratory (dfrl) authorities to utilise their technical skills for the benefit of local farmers and producers to increase their economic status.
Manohar Parrikar,NIE,by september 30, 2018, my government will go cashless, manoharparrikar said while speaking at a seminar organised by nabard (national bank for agriculture and rural development) at a function here.
